gene,reaction,num
YBR153W,['rxn915'],1
YDL055C,['rxn6479'],1
YDL103C,"['rxn11768', 'rxn11769', 'rxn1533', 'rxn1534', 'rxn1535', 'rxn1536', 'rxn1537', 'rxn1538', 'rxn1539', 'rxn1540', 'rxn1541', 'rxn1542', 'rxn1543', 'rxn1544', 'rxn1545', 'rxn1546', 'rxn1547', 'rxn1548', 'rxn1549', 'rxn1550', 'rxn1553', 'rxn1554', 'rxn1555', 'rxn1556', 'rxn1559', 'rxn1560', 'rxn1561', 'rxn1562']",28
YDL141W,"['rxn29871', 'rxn22482']",2
YDR353W,"['rxn44299', 'rxn44300', 'rxn55573', 'rxn4692', 'rxn2777', 'rxn401']",6
YDR454C,['rxn6479'],1
YEL058W,"['rxn11768', 'rxn1533', 'rxn1535', 'rxn1537', 'rxn1539', 'rxn1541', 'rxn1544', 'rxn1546', 'rxn1548', 'rxn1550', 'rxn1554', 'rxn1555', 'rxn1560', 'rxn1562']",14
YER003C,"['rxn29111', 'rxn29112', 'rxn29113', 'rxn17414', 'rxn18092', 'rxn18093', 'rxn40817', 'rxn22804', 'rxn11946', 'rxn16084', 'rxn16087', 'rxn11070', 'rxn6479', 'rxn3491', 'rxn1509', 'rxn1510', 'rxn1511', 'rxn1512', 'rxn1513', 'rxn1514', 'rxn1516', 'rxn1517', 'rxn1518', 'rxn1519', 'rxn1520', 'rxn1525', 'rxn1526', 'rxn1528', 'rxn1529', 'rxn1530', 'rxn1531', 'rxn2617', 'rxn140']",33
YER023W,"['rxn17965', 'rxn65070']",2
YER043C,"['rxn6325', 'rxn6335', 'rxn6340', 'rxn7071', 'rxn4359', 'rxn4360', 'rxn79', 'rxn80', 'rxn83', 'rxn1253']",10
YFL045C,['rxn6479'],1
YGL055W,"['rxn39970', 'rxn11546', 'rxn12214', 'rxn54519', 'rxn13874', 'rxn15645', 'rxn65874', 'rxn9334', 'rxn9335', 'rxn9337', 'rxn6521', 'rxn4481', 'rxn5275', 'rxn5276', 'rxn1677', 'rxn1689', 'rxn2560', 'rxn2575', 'rxn2576', 'rxn2579', 'rxn2584', 'rxn2593', 'rxn2768']",23
YGR267C,['rxn37271'],1
YHR074W,"['rxn14790', 'rxn58412', 'rxn58414', 'rxn58416', 'rxn58418']",5
YIL083C,"['rxn19212', 'rxn40705', 'rxn10206', 'rxn4641', 'rxn66', 'rxn1275']",6
YKL024C,['rxn60958'],1
YKL088W,"['rxn44254', 'rxn4641']",2
YKL104C,"['rxn12075', 'rxn12080', 'rxn12081', 'rxn49880', 'rxn55763', 'rxn57854', 'rxn8914', 'rxn8915', 'rxn7427', 'rxn7428', 'rxn7429', 'rxn7430', 'rxn7431', 'rxn5860', 'rxn4050', 'rxn4051', 'rxn4064', 'rxn4065', 'rxn4090', 'rxn4091', 'rxn4116', 'rxn4117', 'rxn1464', 'rxn1485', 'rxn1512', 'rxn1565', 'rxn1566', 'rxn1597', 'rxn1908', 'rxn1911', 'rxn1912', 'rxn678', 'rxn1181']",33
YNR016C,"['rxn29871', 'rxn22482']",2
YOL066C,['rxn915'],1
YOR074C,"['rxn23128', 'rxn70411', 'rxn10515']",3
YOR095C,"['rxn44299', 'rxn44300', 'rxn55573', 'rxn4692', 'rxn2777', 'rxn401']",6
YOR236W,['rxn6479'],1
YPR035W,"['rxn17765', 'rxn45254', 'rxn45259', 'rxn12075', 'rxn12080', 'rxn12081', 'rxn49880', 'rxn50334', 'rxn55763', 'rxn31478', 'rxn57854', 'rxn14113', 'rxn14123', 'rxn14133', 'rxn14138', 'rxn16322', 'rxn16325', 'rxn16350', 'rxn16353', 'rxn16680', 'rxn16685', 'rxn68132', 'rxn70537', 'rxn8914', 'rxn8915', 'rxn9362', 'rxn9941', 'rxn7429', 'rxn7430', 'rxn10095', 'rxn10096', 'rxn10098', 'rxn10101', 'rxn5860', 'rxn7067', 'rxn7068', 'rxn7224', 'rxn4874', 'rxn5484', 'rxn3387', 'rxn3551', 'rxn4050', 'rxn4051', 'rxn4064', 'rxn4065', 'rxn4090', 'rxn4091', 'rxn4116', 'rxn4117', 'rxn1464', 'rxn1485', 'rxn1512', 'rxn1565', 'rxn1566', 'rxn1597', 'rxn1670', 'rxn1673', 'rxn1908', 'rxn1911', 'rxn1912', 'rxn547', 'rxn678', 'rxn907', 'rxn1181']",64
