Product name,Predicted reaction number,Predicted reaction Yeast-MetaTwin ID,Predicted reaction,Predicted genes of reaction
(S)-Malate,1,r_0452,fumarate + H2O => (S)-malate,YPL262W
(S)-Malate,2,r_0714,(S)-malate + NAD => H+ + NADH + oxaloacetate,YOL126C
(S)-Malate,3,r_1126,(S)-malate => citrate,YBR291C
(S)-Malate,4,r_1226,phosphate => (S)-malate,YLR348C
(S)-Malate,5,r_1652,(S)-malate => 2-oxoglutarate,
(S)-Malate,6,r_1689,citrate => (S)-malate,
(S)-Malate,7,r_1901,(S)-malate => ,
(S)-Malate,8,r_1930,(S)-malate => oxaloacetate,
(S)-Malate,9,r_2132,2-oxoglutarate => (S)-malate,YOR222W or YPL134C
(S)-Malate,10,rxn76,(S)-malate + 2-oxoglutarate => oxaloacetate + 2-hydroxyglutarate,YGR255C or YDL178W or YCL005W-A or YIR028W or YEL071W
(S)-Malate,11,rxn155,(S)-malate + FMN => FMNH2 + 3 H+ + oxaloacetate,YGR255C or YDL178W or YCL005W-A or YIR028W or YEL071W
(S)-Malate,12,rxn801,(S)-malate + H+ => (R)-lactate + carbon dioxide,YNL169C or YGR087C or YNR043W or YLL028W or YNL052W or YDR380W or YDL080C or YLR044C or YKL088W or YKR072C or YEL021W or YOR128C or YKR097W or YOL052C or YKL184W or YDR539W or YER010C or YDR047W or YMR250W or YLR134W
(S)-Malate,13,rxn1354,(S)-malate + pyruvate => (R)-lactate + oxaloacetate,YGR255C or YDL178W or YCL005W-A or YIR028W or YEL071W
(S)-Malate,14,rxn1613,(S)-malate + ubiquinone-6 => oxaloacetate + ubiquinol-6,YIL155C
(S)-Malate,15,rxn1953,(S)-malate + L-aspartate 4-semialdehyde => L-homoserine + oxaloacetate,YGR255C or YDL178W or YCL005W-A or YIR028W or YEL071W
(S)-Malate,16,rxn1954,(S)-malate + aldehydo-d-galacturonate => oxaloacetate + D-gluconate,YGR255C or YDL178W or YCL005W-A or YIR028W or YEL071W
(S)-Malate,17,rxn1955,(S)-malate + glycolaldehyde => oxaloacetate + ethylene glycol,YGR255C or YDL178W or YCL005W-A or YIR028W or YEL071W
(S)-Malate,18,rxn1956,(S)-malate + phenylacetaldehyde => 2-phenylethanol + oxaloacetate,YGR255C or YDL178W or YCL005W-A or YIR028W or YEL071W
(S)-Malate,19,rxn1957,(S)-malate + propanal => oxaloacetate + propanol,YGR255C or YDL178W or YCL005W-A or YIR028W or YEL071W
