Product name,Predicted reaction number,Predicted reaction Yeast-MetaTwin ID,Predicted reaction,Predicted genes of reaction
Pyruvate,1,r_0958,ATP + bicarbonate + pyruvate => ADP + H+ + oxaloacetate + phosphate,YBR218C or YGL062W
Pyruvate,2,r_0959,H+ + pyruvate => acetaldehyde + carbon dioxide,YGR087C or YLR044C or YLR134W
Pyruvate,3,r_0960,acetaldehyde + H+ + pyruvate => (R)-acetoin + carbon dioxide,YGR087C or YLR044C or YLR134W
Pyruvate,4,r_1138,pyruvate => (R)-lactate,
Pyruvate,5,r_1254,H+ + pyruvate => ,YKL217W
Pyruvate,6,r_2034, => H+ + pyruvate,(YGL080W and YGR243W) or (YGL080W and YHR162W)
Pyruvate,7,r_2112,L-kynurenine + pyruvate => H2O + L-alanine + kynurenic acid,YJL060W
Pyruvate,8,r_2117,L-phenylalanine + pyruvate => keto-phenylpyruvate + L-alanine,YHR137W
Pyruvate,9,r_2119,3-(4-hydroxyphenyl)pyruvate + L-alanine => L-tyrosine + pyruvate,YHR137W
Pyruvate,10,r_4184,4-hydroxy-4-methyl-2-oxoglutarate => 2 pyruvate,YER010C
Pyruvate,11,r_4226,2-oxoglutarate + L-alanine => L-glutamate + pyruvate,YDR111C
Pyruvate,12,r_4703,TRX1 + 3-mercaptopyruvate => hydrogen sulfide + pyruvate + TRX1 disulphide,YOR251C
Pyruvate,13,r_4716,ethanol + H+ + pyruvate => H2O + ethyl pyruvate,YOR126C
Pyruvate,14,rxn115,L-cysteine + pyruvate => L-alanine + 3-mercaptopyruvate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
Pyruvate,15,rxn116,L-isoleucine + pyruvate => (S)-3-methyl-2-oxopentanoate + L-alanine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
Pyruvate,16,rxn117,L-glutamine + pyruvate => L-alanine + 2-Oxoglutaramate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
Pyruvate,17,rxn267,ammonium + pyruvate => H2O + 2-aminoacrylic acid,YGL196W or YER086W or YCL064C or YKL218C
