EC,yeast8,yeast8U,ratio
1.1.1,158,266,1.6835443037974684
1.1.99,11,265,24.09090909090909
1.8.99,0,252,0.0
1.14.13,6,212,35.333333333333336
1.14.11,2,179,89.5
1.2.1,37,128,3.4594594594594597
1.3.1,27,115,4.2592592592592595
1.11.2,1,99,99.0
1.14.14,3,68,22.666666666666668
1.14.18,10,59,5.9
1.3.7,0,50,0.0
1.8.1,28,49,1.75
1.4.1,1,48,48.0
1.6.5,8,37,4.625
1.10.3,2,36,18.0
1.5.1,11,35,3.1818181818181817
1.11.1,11,32,2.909090909090909
1.4.3,5,31,6.2
1.16.3,3,29,9.666666666666666
1.3.99,1,27,27.0
1.8.3,1,27,27.0
1.16.1,2,26,13.0
1.8.98,0,24,0.0
1.1.5,1,23,23.0
1.3.3,20,21,1.05
1.1.3,1,17,17.0
1.8.5,5,15,3.0
1.97.1,0,15,0.0
1.5.3,3,14,4.666666666666667
1.14.99,6,12,2.0
1.14.19,7,9,1.2857142857142858
1.4.4,8,8,1.0
1.17.4,8,8,1.0
1.3.5,4,7,1.75
1.13.11,3,6,2.0
1.3.8,3,6,2.0
1.3.98,1,6,6.0
1.2.4,4,4,1.0
1.17.99,1,4,4.0
1.14.12,2,4,2.0
1.13.12,1,4,4.0
1.6.2,3,3,1.0
1.20.4,2,3,1.5
1.8.4,3,3,1.0
1.1.2,2,2,1.0
1.18.1,2,2,1.0
1.7.5,1,2,2.0
1.15.1,2,2,1.0
1.17.1,1,1,1.0
1.14.17,1,1,1.0
1.5.5,1,1,1.0
1.12.98,0,1,0.0
2.3.1,554,733,1.3231046931407942
2.7.1,300,713,2.3766666666666665
2.4.1,125,704,5.632
2.6.1,42,538,12.80952380952381
2.1.1,66,506,7.666666666666667
2.7.4,48,353,7.354166666666667
2.7.7,43,276,6.4186046511627906
2.7.8,102,249,2.4411764705882355
2.7.11,18,245,13.61111111111111
2.5.1,67,163,2.4328358208955225
2.3.2,14,141,10.071428571428571
2.4.2,23,104,4.521739130434782
2.7.13,9,88,9.777777777777779
2.2.1,5,43,8.6
2.7.10,1,30,30.0
2.1.2,15,24,1.6
2.1.3,1,20,20.0
2.8.4,8,18,2.25
2.7.6,7,17,2.4285714285714284
2.7.12,1,11,11.0
2.3.3,10,10,1.0
2.8.1,6,9,1.5
2.7.3,6,9,1.5
2.7.2,5,5,1.0
2.4.99,1,1,1.0
3.1.1,291,723,2.484536082474227
3.1.3,206,648,3.145631067961165
3.4.21,12,388,32.333333333333336
3.6.4,39,323,8.282051282051283
3.1.4,121,215,1.7768595041322315
3.2.1,28,179,6.392857142857143
3.6.1,46,164,3.5652173913043477
3.4.14,9,144,16.0
3.4.19,19,120,6.315789473684211
3.5.1,23,102,4.434782608695652
3.2.2,14,85,6.071428571428571
3.1.2,20,56,2.8
3.5.4,18,29,1.6111111111111112
3.6.5,15,22,1.4666666666666666
3.4.23,8,19,2.375
3.1.11,0,19,0.0
3.4.16,15,18,1.2
3.4.22,0,18,0.0
3.4.11,4,17,4.25
3.1.26,0,14,0.0
3.3.2,9,11,1.2222222222222223
3.4.17,1,11,11.0
3.3.1,1,6,6.0
3.4.13,3,6,2.0
3.5.99,0,6,0.0
3.7.1,2,5,2.5
3.1.7,0,5,0.0
3.5.3,2,4,2.0
3.1.13,0,3,0.0
3.5.2,2,2,1.0
3.4.24,1,2,2.0
3.6.2,0,2,0.0
4.2.1,75,207,2.76
4.1.1,37,101,2.72972972972973
4.4.1,7,93,13.285714285714286
4.99.1,4,72,18.0
4.1.3,9,61,6.777777777777778
4.2.3,10,59,5.9
4.6.1,11,50,4.545454545454546
4.3.3,3,37,12.333333333333334
4.1.2,7,22,3.142857142857143
4.2.99,0,21,0.0
4.3.2,7,17,2.4285714285714284
4.3.1,5,13,2.6
4.1.99,4,5,1.25
4.5.1,1,1,1.0
4.2.2,1,1,1.0
5.2.1,3,192,64.0
5.4.99,5,181,36.2
5.5.1,4,138,34.5
5.3.4,4,56,14.0
5.3.1,7,25,3.5714285714285716
5.3.99,8,18,2.25
5.4.2,7,15,2.142857142857143
5.3.3,9,12,1.3333333333333333
5.1.3,4,8,2.0
5.3.2,6,6,1.0
5.6.1,2,2,1.0
5.1.1,1,1,1.0
6.2.1,45,85,1.8888888888888888
6.3.2,7,48,6.857142857142857
6.1.1,35,35,1.0
6.3.4,17,32,1.8823529411764706
6.3.5,11,21,1.9090909090909092
6.3.3,6,20,3.3333333333333335
6.3.1,4,10,2.5
6.4.1,5,6,1.2
7.1.1,16,758,47.375
7.6.2,63,65,1.0317460317460319
7.2.1,6,38,6.333333333333333
7.2.2,16,16,1.0
7.1.2,5,5,1.0
7.5.2,3,3,1.0
7.3.2,1,1,1.0
