Name,Group,class,yeast8_reaction_lst,yeast8_reaction_num,yeast8U_reaction_lst,yeast8U_reaction_num
Thymidine,native,nucleic acid,"['r_2074', 'r_2075']",2,"['r_2074', 'r_2075', 'rxn305', 'rxn1303', 'rxn2415', 'rxn2416', 'rxn2582', 'rxn2583']",8
Guanine,native,nucleic acid,"['r_0526', 'r_0527', 'r_0949', 'r_1176', 'r_1819', 'r_4758']",6,"['r_0526', 'r_0527', 'r_0949', 'r_1176', 'r_1819', 'r_4758', 'rxn397', 'rxn2002', 'rxn2278', 'rxn2279', 'rxn2280', 'rxn2281', 'rxn2282', 'rxn2283', 'rxn2299', 'rxn2300', 'rxn2301', 'rxn2302', 'rxn2303', 'rxn2304', 'rxn2305', 'rxn2308', 'rxn2309', 'rxn2310', 'rxn2549']",25
Spermine,native,bioamine,"['r_0937', 'r_1262', 'r_1263', 'r_1739']",4,"['r_0937', 'r_1262', 'r_1263', 'r_1739', 'rxn2595']",5
Putrescine,native,bioamine,"['r_1001', 'r_1251', 'r_1252']",3,"['r_1001', 'r_1251', 'r_1252', 'rxn562', 'rxn565', 'rxn1460', 'rxn1461', 'rxn1462', 'rxn1463', 'rxn1464', 'rxn1488', 'rxn1491', 'rxn1572', 'rxn1573', 'rxn1574', 'rxn1575', 'rxn1576', 'rxn1759', 'rxn2110']",19
Urea,native,other,"['r_0189', 'r_1075', 'r_1273', 'r_4210']",4,"['r_0189', 'r_1075', 'r_1273', 'r_4210']",4
Ergosterol,native,other,"['r_1068', 'r_1147', 'r_1148', 'r_1758', 'r_1759', 'r_3552', 'r_4063']",7,"['r_1068', 'r_1147', 'r_1148', 'r_1758', 'r_1759', 'r_3552', 'r_4063', 'rxn3147']",8
Acetaldehyde,native,other,"['r_0095', 'r_0173', 'r_0960', 'r_1632', 'r_1633', 'r_2115', 'r_2116', 'r_4273']",8,"['r_0095', 'r_0173', 'r_0960', 'r_1632', 'r_1633', 'r_2115', 'r_2116', 'r_4273', 'rxn84', 'rxn85', 'rxn88', 'rxn301', 'rxn857', 'rxn1221', 'rxn1222', 'rxn1223', 'rxn1224', 'rxn1424', 'rxn1482', 'rxn1821', 'rxn2269', 'rxn2945']",22
Xanthine,native,alkaloid,"['r_1091', 'r_2101']",2,"['r_1091', 'r_2101', 'rxn672', 'rxn2289', 'rxn2290', 'rxn2291', 'rxn2547', 'rxn2988']",8
Hypoxanthine,native,alkaloid,"['r_0562', 'r_0951', 'r_1842']",3,"['r_0562', 'r_0951', 'r_1842', 'rxn670', 'rxn671', 'rxn673', 'rxn2003', 'rxn2284', 'rxn2285', 'rxn2286', 'rxn2292', 'rxn2293', 'rxn2294', 'rxn2295', 'rxn2296', 'rxn2548']",16
Choline,native,alkaloid,"['r_0273', 'r_1684', 'r_4332']",3,"['r_0273', 'r_1684', 'r_4332', 'rxn828', 'rxn831', 'rxn1971', 'rxn2495', 'rxn2496', 'rxn2501', 'rxn2636', 'rxn2637', 'rxn2638', 'rxn2639', 'rxn2640', 'rxn2641', 'rxn2642', 'rxn2643']",17
"2,3-Butanediol",native,alcohol,"['r_0003', 'r_1097']",2,"['r_0003', 'r_1097', 'rxn1354']",3
Isobutanol,native,alcohol,"['r_0161', 'r_1868', 'r_1869']",3,"['r_0161', 'r_1868', 'r_1869']",3
Isoamylol,native,alcohol,"['r_0160', 'r_1863', 'r_1864']",3,"['r_0160', 'r_1863', 'r_1864', 'rxn45', 'rxn1372', 'rxn1373']",6
2-Phenylethanol,native,alcohol,"['r_0162', 'r_1590', 'r_1591']",3,"['r_0162', 'r_1590', 'r_1591', 'rxn44', 'rxn1153', 'rxn1511', 'rxn1512', 'rxn1946', 'rxn3006', 'rxn3194']",10
