Product name,Predicted reaction number,Predicted reaction Yeast-MetaTwin ID,Predicted reaction,Predicted genes of reaction
L-tryptophan,1,r_0694,L-tryptophan + oxygen => N-formyl-L-kynurenine,YJR078W
L-tryptophan,2,r_1056,2-oxoglutarate + L-tryptophan => indole-3-pyruvate + L-glutamate,YGL202W
L-tryptophan,3,r_1057,ATP + L-tryptophan + tRNA(Trp) => AMP + diphosphate + Trp-tRNA(Trp),YOL097C
L-tryptophan,4,r_1219,H+ + L-tryptophan => ,YBR068C or YBR069C or YDR046C or YKR039W or YOL020W
L-tryptophan,5,r_2082, => L-tryptophan,
L-tryptophan,6,r_2118,keto-phenylpyruvate + L-tryptophan => indole-3-pyruvate + L-phenylalanine,YHR137W
L-tryptophan,7,rxn534,H2O + L-tryptophan => ammonium + pyruvate + indole,YDR087C or YDR487C or YEL004W or YDR403W
L-tryptophan,8,rxn577,4-methylthio-2-oxobutanoate + L-tryptophan => indole-3-pyruvate + L-methionine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-tryptophan,9,rxn578,4-methyl-2-oxopentanoate + L-tryptophan => indole-3-pyruvate + L-leucine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-tryptophan,10,rxn579,2-oxobutanoate + L-tryptophan => indole-3-pyruvate + 2-aminobutanoate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-tryptophan,11,rxn982,L-tryptophan + oxaloacetate => indole-3-pyruvate + L-aspartate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-tryptophan,12,rxn1219,3-(4-hydroxyphenyl)pyruvate + L-tryptophan => indole-3-pyruvate + L-tyrosine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-tryptophan,13,rxn1486,H2O + L-tryptophan => L-serine + indole,YGL009C or YMR323W or YGR254W or YGL040C or YOR391C or YDR234W or YNL335W or YJR024C or YPL262W or YKR009C or YHL018W or YDR533C or YGR155W or YJR016C or YHR140W or YPL280W or YJL097W or YJL200C or YOR202W or YNL036W or YPR002W or YDR222W or YPR170W-B or YGL026C or YKL058W or YPL281C or YOR145C or YPL078C or YJR044C or YLR304C or YHR067W or YHR174W or YNL316C or YCR061W or YOR278W or YFL061W or YMR322C or YKL151C or YOR393W
L-tryptophan,14,rxn2401,L-tryptophan + pyruvate => indole-3-pyruvate + L-alanine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-tryptophan,15,rxn3191,2-oxoadipic acid + L-tryptophan => indole-3-pyruvate + L-2-aminoadipate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
